2019-02-06 11:18:04.128 [main] DEBUG com.ocr.charles.Menu - Choosen game : Searchumber
2019-02-06 12:56:22.849 [main] INFO  com.ocr.charles.Menu - Resume init
2019-02-06 12:56:22.852 [main] INFO  com.ocr.charles.Menu - 4
2019-02-06 12:56:22.852 [main] INFO  com.ocr.charles.Menu - 5
2019-02-06 12:56:22.852 [main] INFO  com.ocr.charles.Menu - 4
2019-02-06 12:56:22.852 [main] INFO  com.ocr.charles.Menu - false
2019-02-06 12:56:22.852 [main] INFO  com.ocr.charles.Menu - false
2019-02-06 12:56:32.347 [main] INFO  com.ocr.charles.Menu - Choosen game : Searchumber
2019-02-06 14:33:30.614 [main] INFO  com.ocr.charles.Menu - -----------------------Resume init-----------------------
2019-02-06 14:33:30.617 [main] INFO  com.ocr.charles.Menu - Number of digit : 4
2019-02-06 14:33:30.617 [main] INFO  com.ocr.charles.Menu - Tentatives autorisées : 5
2019-02-06 14:33:30.617 [main] INFO  com.ocr.charles.Menu - Tentatives autorisées -1 : 4
2019-02-06 14:33:30.617 [main] INFO  com.ocr.charles.Menu - Partie terminée : false
2019-02-06 14:33:30.617 [main] INFO  com.ocr.charles.Menu - Joueur gagne : false
2019-02-06 14:33:30.617 [main] INFO  com.ocr.charles.Menu - Range min: 0, 0, 0, 0, 
2019-02-06 14:33:30.617 [main] INFO  com.ocr.charles.Menu - Range max: 9, 9, 9, 9, 
2019-02-06 14:33:30.617 [main] INFO  com.ocr.charles.Menu - Développeur mode : true
2019-02-06 14:33:30.617 [main] INFO  com.ocr.charles.Menu - --------------------End resume init----------------------
2019-02-06 14:33:35.499 [main] INFO  com.ocr.charles.Menu - Choosen game : Searchumber
2019-02-06 14:48:48.390 [main] INFO  com.ocr.charles.Menu - -----------------------Resume init-----------------------
2019-02-06 14:48:48.392 [main] INFO  com.ocr.charles.Menu - Nombre de digits : 4
2019-02-06 14:48:48.393 [main] INFO  com.ocr.charles.Menu - Tentatives autorisées : 5
2019-02-06 14:48:48.393 [main] INFO  com.ocr.charles.Menu - Tentatives autorisées -1 : 4
2019-02-06 14:48:48.393 [main] INFO  com.ocr.charles.Menu - Partie terminée : false
2019-02-06 14:48:48.393 [main] INFO  com.ocr.charles.Menu - Joueur gagne : false
2019-02-06 14:48:48.393 [main] INFO  com.ocr.charles.Menu - Range min: 0 0 0 0 
2019-02-06 14:48:48.393 [main] INFO  com.ocr.charles.Menu - Range max: 9 9 9 9 
2019-02-06 14:48:48.393 [main] INFO  com.ocr.charles.Menu - Développeur mode : true
2019-02-06 14:48:48.393 [main] INFO  com.ocr.charles.Menu - --------------------Fin resume init----------------------
2019-02-06 14:48:48.393 [main] INFO  com.ocr.charles.Menu - Mode choisi : Challenger
2019-02-06 14:48:52.919 [main] INFO  com.ocr.charles.Menu - [[I@45752059
2019-02-06 14:48:56.459 [main] INFO  com.ocr.charles.Menu - Jeu choisi : Searchumber
2019-02-06 14:48:57.427 [main] INFO  com.ocr.charles.Menu - Joueur quitte l'application
2019-02-06 14:48:57.427 [main] INFO  com.ocr.charles.Menu - Lancement application
2019-02-06 15:03:11.590 [main] INFO  com.ocr.charles.Menu - Lancement application
2019-02-06 15:03:15.612 [main] INFO  com.ocr.charles.Menu - -----------------------Resume init-----------------------
2019-02-06 15:03:15.612 [main] INFO  com.ocr.charles.Menu - Nombre de digits : 4
